start time,end time,texto,asset,prompt,caminho
"00:00:00,000","00:00:04,308","Let's get right into it. Number 10, The ""Free Trial""",imagem,"Cartoon stick-figure scene of a gleeful stick figure reaching for a ""FREE TRIAL"" box, unaware of a giant, menacing invoice silently rising from behind it.",C:\Users\andre\OneDrive\Documents\codex\automation-chilldude\output\everyday_scams_people_still_fall_for\scenes\scene_0001.png
"00:00:04,308","00:00:05,170",That Isn't.,avatar,,
"00:00:05,170","00:00:08,332","You're scrolling, minding your own business, and then BAM! An",imagem,"Cartoon stick-figure scene of a stick figure calmly scrolling on a phone, then suddenly startled as a huge, flashy ad for a 'revolutionary product' pops up dramatically.",C:\Users\andre\OneDrive\Documents\codex\automation-chilldude\output\everyday_scams_people_still_fall_for\scenes\scene_0003.png
"00:00:08,332","00:00:11,495",ad for a revolutionary new product. Maybe it’s a weight,imagem,"Cartoon stick-figure scene of a scrawny stick figure gazing at an ad for a weight loss supplement, envisioning themselves as a muscular Greek god on a pedestal.",C:\Users\andre\OneDrive\Documents\codex\automation-chilldude\output\everyday_scams_people_still_fall_for\scenes\scene_0004.png
"00:00:11,495","00:00:14,657",loss supplement that promises you’ll look like a Greek god,imagem,"Cartoon stick-figure scene of a stick figure applying 'miracle' skincare cream, imagining their face transforming into a smooth, youthful visage, like a Greek sculpture.",C:\Users\andre\OneDrive\Documents\codex\automation-chilldude\output\everyday_scams_people_still_fall_for\scenes\scene_0005.png
"00:00:14,657","00:00:17,820","in a week, or a skincare cream that swears it’ll",imagem,Cartoon stick-figure scene of a stick figure looking in a mirror as wrinkles visibly disappear from their face at an alarming speed due to a 'magic' cream.,C:\Users\andre\OneDrive\Documents\codex\automation-chilldude\output\everyday_scams_people_still_fall_for\scenes\scene_0006.png
"00:00:17,820","00:00:20,982",erase 20 years from your face faster than you can,imagem,"Cartoon stick-figure scene of a smiling stick-figure promoter, with crossed fingers behind their back, confidently assuring another stick figure there's ""no catch"" to an offer.",C:\Users\andre\OneDrive\Documents\codex\automation-chilldude\output\everyday_scams_people_still_fall_for\scenes\scene_0007.png
"00:00:20,982","00:00:24,145","say ""botox."" The catch? There isn't one, they say! Just",imagem,"Cartoon stick-figure scene of a stick figure happily clicking ""pay shipping"" for a ""free trial,"" unaware of the complex, binding subscription agreement materializing behind them.",C:\Users\andre\OneDrive\Documents\codex\automation-chilldude\output\everyday_scams_people_still_fall_for\scenes\scene_0008.png
"00:00:24,145","00:00:27,307","pay shipping for a ""free trial."" Sounds harmless, right? You",imagem,"Cartoon stick-figure scene of a naive stick figure casually typing credit card details into a form, with a thought bubble above them asking: ""What's the worst that could happen?""",C:\Users\andre\OneDrive\Documents\codex\automation-chilldude\output\everyday_scams_people_still_fall_for\scenes\scene_0009.png
"00:00:27,307","00:00:30,470","punch in your credit card details, thinking, ""What's the worst",imagem,"Cartoon stick-figure scene of a stick figure's credit card details being devoured by a monstrous ""Recurring Subscription"" machine, leaving the stick figure looking utterly bewildered.",C:\Users\andre\OneDrive\Documents\codex\automation-chilldude\output\everyday_scams_people_still_fall_for\scenes\scene_0010.png
"00:00:30,470","00:00:33,633","that could happen?"" Well, the worst, my friend, is that",imagem,"Cartoon stick-figure scene of a stick figure struggling to climb a mountain of ""subscription bills"" while trying to cut a thick, unbreakable ""Cancel"" rope with tiny scissors.",C:\Users\andre\OneDrive\Documents\codex\automation-chilldude\output\everyday_scams_people_still_fall_for\scenes\scene_0011.png
"00:00:33,633","00:00:36,795",you've just signed up for a recurring subscription that costs,imagem,"Cartoon stick-figure scene of a frustrated stick figure attempting to cancel a subscription, facing a smiling, evasive stick-figure 'politician' giving confusing, unhelpful answers.",C:\Users\andre\OneDrive\Documents\codex\automation-chilldude\output\everyday_scams_people_still_fall_for\scenes\scene_0012.png
"00:00:36,795","00:00:39,958","more than your monthly rent, and canceling it is harder",imagem,"Cartoon stick-figure scene of a stick figure trapped in a maze of confusing terms and conditions, desperately seeking an exit, while shadowy ""company"" figures observe from above.",C:\Users\andre\OneDrive\Documents\codex\automation-chilldude\output\everyday_scams_people_still_fall_for\scenes\scene_0013.png
